asunto;cuerpo;remitente;etiqueta
Mesa de Ayuda: restablecimiento urgente de acceso VPN;Estimado colaborador, por mantenimiento del servidor de autenticación, todos los usuarios deben restablecer su acceso VPN antes de las 6:00 p.m. de hoy. Ingrese su usuario de red y contraseÃ±a actual en el formulario adjunto para no perder la conexión remota mañana. Mesa de Ayuda Corporativa;mesadeayuda@soporte-corporativo-vpn.com;phishing
Invitación al webinar: tendencias en garantías financieras;Le invitamos a participar del webinar gratuito 'Tendencias en garantías financieras para MYPES en Latinoamérica', a realizarse el 25 de agosto a las 5:00 p.m. Podrá inscribirse desde nuestra página web institucional. Cupos limitados. Saludos, Comité Organizador;eventos@felaban.org;phishing
Consulta interna: expediente de Carta Fianza pendiente;Hola equipo, quería consultar si ya se revisó el expediente de la Carta Fianza del cliente Constructora del Sur, ya que están próximos a que venza el plazo. Cualquier avance, por favor me confirman para dar seguimiento. Saludos, Karina;karina.leon@pmnv.gob.pe;phishing
Documentación complementaria para revisión de garantía;Buenos días, adjunto la documentación complementaria que nos solicitaron para continuar con la evaluación de nuestra Carta Fianza. Quedamos atentos a cualquier observación adicional que puedan tener. Saludos cordiales, Área de Administración, Inversiones del Norte SAC;administracion@inversionesdelnorte.pe;phishing
Agradecimiento por la emisión de nuestra Carta Fianza;Estimados, queremos agradecer la rapidez con la que se procesó la emisión de nuestra Carta Fianza esta semana, lo cual nos permitió cumplir con el plazo establecido por la entidad bancaria. Seguimos atentos ante cualquier requerimiento adicional. Saludos, Gerencia General, Edificaciones Andinas SAC;gerencia@edificacionesandinas.pe;phishing
Recordatorio interno: renovaciones de CF pendientes esta semana;Hola equipo, les recuerdo que tenemos pendiente la revisión de tres renovaciones de Carta Fianza que vencen esta semana. Por favor priorizar su evaluación y avisar si necesitan apoyo con la documentación. Saludos, Coordinación de Garantías;coordinacion.garantias@fogapi.gob.pe;phishing
Consulta de cliente sobre requisitos para Carta Fianza;Buenas tardes, estamos evaluando solicitar una Carta Fianza para un proyecto de construcción y quisiéramos saber quédocumentación necesitamos presentar y los plazos aproximados de evaluación. Quedamos atentos a su respuesta. Saludos, Constructora Vega e Hijos;contacto@constructoravega.pe;phishing
Consulta sobre plazos de evaluación de mi solicitud;Buenos días, quisiera saber cuál es el plazo estimado de evaluación para mi solicitud de Carta Fianza presentada la semana pasada, ya que necesito planificar los siguientes pasos con mi entidad bancaria. Gracias de antemano por su respuesta. Saludos, Lucía Farfán;lucia.farfan@empresaindependiente.pe;phishing
Envío de estados financieros solicitados para evaluación;Buenos días, adjunto los estados financieros del Ãºltimo ejercicio que nos solicitaron para continuar con la evaluación de la Carta Fianza. Quedamos atentos por si requieren documentación adicional. Saludos cordiales, Área Contable, Distribuidora Andina SAC;contabilidad@distribuidoraandina.pe;phishing
Actualización de tu perfil crediticio requerida;Hola, tu perfil crediticio en nuestra plataforma presenta datos desactualizados que podrían afectar la consulta score. Ingresa con tu usuario y contraseÃ±a habitual para confirmar tu información y evitar restricciones en futuras consultas de crÃ©dito. Equipo Experian Sentinel;soporte@experiansentinel-cuentas.com;phishing
Consulta sobre mi Carta Fianza N.° 00458-2026;Buenos días, soy cliente de la entidad y necesito conocer el estado actual de mi Carta Fianza N.° 00458-2026. Adjunto el documento con mis datos para que puedan verificar mi solicitud más rápido. Quedo atento a su respuesta a la brevedad. Saludos, Jorge Salazar;jorge.salazar.consultas@correoseguro-cliente.com;phishing
Necesito saber el estado de mi CF - datos adjuntos;Estimados, les escribo porque necesito con urgencia saber en quéestado se encuentra mi CF, ya que el banco me la está solicitando esta semana. Adjunto mis datos personales y el nÃºmero de expediente para que puedan ubicarla más rápido. Gracias de antemano. Rosa Medina;rosa.medina.cf@clientefogapi-consulta.com;phishing
Tu acceso a Sentinel Experian vence hoy;Estimado analista, el sistema detectó que su sesión activa en la plataforma Sentinel Experian vence hoy a las 6:00 p.m. Para no interrumpir las consultas de riesgo crediticio de sus clientes en curso, reingrese sus credenciales corporativas en el panel de renovación de sesión. Soporte Sentinel Experian;soporte@sentinelexperian-plataforma.com;phishing
Reporte de cliente disponible para tu revisión en Sentinel;Estimado usuario, el reporte crediticio del cliente asociado al expediente EXP-04521 ya se encuentra disponible en su bandeja de Sentinel. Ingrese con su usuario corporativo para revisarlo antes de que la solicitud sea reasignada a otro analista. Equipo Sentinel Experian;notificaciones@sentinelexperian-reportes.com;phishing
Actualización del sistema Sentinel: reingrese sus credenciales;Estimado colaborador, como parte de la actualización de seguridad de la plataforma Sentinel, todos los usuarios corporativos deben reingresar sus credenciales de acceso antes de las 5:00 p.m. para no perder el historial de consultas de clientes registradas. Departamento TÃ©cnico, Sentinel Experian;tecnico@sentinelexperian-actualizacion.com;phishing
Alerta: múltiples consultas fallidas en tu cuenta corporativa;Hemos detectado varios intentos fallidos de consulta de score desde su cuenta corporativa en Sentinel Experian. Por seguridad, verifique su identidad ingresando su usuario y contraseÃ±a en el enlace de confirmación antes de que la cuenta sea bloqueada de forma preventiva. Seguridad Sentinel Experian;seguridad@sentinelexperian-verificacion.com;phishing
Renovación de licencia corporativa Sentinel pendiente de pago;Estimado administrador, la licencia corporativa que permite a su equipo consultar el historial crediticio de clientes en Sentinel Experian vence en 48 horas. Para evitar la suspensión del servicio para todos los analistas, confirme los datos de facturación y acceso administrativo en el siguiente enlace. Área Comercial, Sentinel Experian;comercial@sentinelexperian-renovacion.com;phishing
Recordatorio: capacitación de uso de Sentinel para analistas nuevos;Hola equipo, les recuerdo que este viernes a las 10:00 a.m. tenemos la capacitación sobre el correcto uso de la plataforma Sentinel Experian para la consulta del historial crediticio de clientes en el proceso de evaluación de garantías. La asistencia es obligatoria para el personal nuevo. Saludos, Coordinación de Garantías;coordinacion.garantias@fopi.pe;phishing
Mantenimiento programado de la plataforma Sentinel este fin de semana;Estimados usuarios corporativos, les informamos que la plataforma Sentinel Experian tendrá un mantenimiento programado el sábado de 11:00 p.m. a 3:00 a.m., por lo que las consultas de historial crediticio no estarán disponibles durante ese horario. Agradecemos su comprensión. Atención a Clientes Corporativos, Experian;soporte.corporativo@experian.pe;phishing
Consulta interna sobre historial crediticio del cliente;Hola Karina, ¿ya pudiste revisar en Sentinel el historial crediticio del cliente Constructora del Sur para el expediente que estamos evaluando? Necesito el resultado para incluirlo en el informe de garantías de esta semana. Saludos, Luis;luis.torres@fopi.gob.pe;phishing
Confirmación de renovación de licencia corporativa;Estimado equipo de TI, les confirmamos que la renovación de la licencia corporativa de Sentinel Experian para consulta de historial crediticio ha sido procesada correctamente según lo coordinado con su ejecutivo de cuenta. Cualquier consulta adicional, puede comunicarse con nuestra línea empresarial. Saludos, Experian Perú;cuentas.corporativas@experian.pe;phishing
Aviso de seguridad: cuidado con correos falsos de Sentinel;Estimados colaboradores, hemos recibido reportes de correos fraudulentos que suplantan a Sentinel Experian solicitando reingresar credenciales o revisar reportes de clientes mediante enlaces externos. Recuerden que el acceso a la plataforma es únicamente a través del portal oficial guardado en favoritos. Ante cualquier duda, reporten el correo a soporte TI. Área de Seguridad de la Información;seguridad.informacion@fipo.gob.pe;phishing
INICIE SESIÓN EN SU CUENTA DE CORREO WEB DE ZIMBRA PARA PROTEGER SU CUENTA.;Estimada usuaria de corre electrónico, Estamos actualizando nuestra base de datos y el centro de cuentas de correo web de Zimbra, y hemos notado que su correo electrónico no superó el proceso de verificación/actualización en el que estamos trabajando actualmente. Para garantizar la máxima seguridad en Internet y evitar que su cuenta sea cerrada o eliminada, debe actualizarla para que sepamos que se trata de una cuenta en uso. Para completar la confirmación de su cuenta, ACTUALIZAR AQUÍ Gracias por elegir Zimbra Web-mail Web Access para sus necesidades de comunicación. Equipo de Servicio de Seguridad de Acceso Web de ZimbraWeb-mail®;aaballi@dgip.edu.uy;phishing
